,data,freq
768,najis,2
769,akhlak,2
770,bkn,2
771,dh,2
772,hahahahahaha,2
773,Oplas,2
774,dipermak,2
775,BANCI,2
776,Org,2
777,sederhana,2
778,belepotan,2
779,makan,2
780,TAIK,2
781,penuh,2
782,kbanyakan,2
783,SIH,2
784,ogah,2
785,mentang2,2
786,terlalu,2
787,hukum,2
788,Manusia,2
789,orang2,2
790,bangsat,2
791,sumpel,2
792,timah,2
793,panas,2
794,congor,2
795,pesek,2
796,rupa,2
797,lumayan,2
798,RATU,2
799,LONTE,2
800,PUNYA,2
801,NGERASA,2
802,mahhhh,2
803,buah,2
804,manda,2
805,tante,2
806,berapa,2
807,Jujur,2
808,ustad,2
809,krna,2
810,poligami,2
811,masuk,2
812,Yaa,2
813,mendapat,2
814,bnget,2
815,alasan,2
816,pikir,2
817,pintar,2
818,pintu,2
819,rejekimu,2
820,kau,2
821,Smua,2
822,M,2
823,makanya,2
824,sama2,2
825,b,2
826,depan,2
827,pemikiran,2
828,eehhh,2
829,tante/ibu/oma/empo,2
830,picik,2
831,manusi,2
832,larangan,2
833,larang,2
834,ngungkapin,2
835,unek2,2
836,stupid,2
837,human,2
838,Heran,2
839,baperan,2
840,baper,2
841,an,2
842,kyak,2
843,hak,2
844,instagram,2
845,s,2
846,Nyindir,2
847,netijen,2
848,goblog,2
849,banyakan,2
850,masyako,2
851,didik,2
852,dibenci,2
853,kerudung,2
854,Hahahaha,2
855,ayem,2
856,diliat,2
857,dikasih,2
858,contoh,2
859,better,2
860,la,2
861,class,2
862,ngak,2
863,belakangan,2
864,dipiara,2
865,Ko,2
866,indo,2
867,beginian,2
868,kn,2
869,kitu,2
870,wkwkwkwkw,2
871,karya,2
872,apaan,2
873,youtube,2
874,penghasilan,2
875,bayar,2
876,pautin,2
877,sblm,2
878,aneh,2
879,and,2
880,Norak,2
881,pngn,2
882,cuman,2
883,doang,2
884,Jedun,2
885,terhormat,2
886,menjaga,2
887,hrsnya,2
888,modal,2
889,instastory,2
890,emaknya,2
891,Hahaha,2
892,sadar,2
893,enggk,2
894,layar,2
895,kaca,2
896,Enggk,2
897,Miskin,2
898,maen,2
899,k,2
900,elmu,2
901,pelet,2
902,Jauh,2
903,mlh,2
904,walaupun,2
905,ciptaan,2
906,bener2,2
907,kuping,2
908,pacarnya,2
909,yaelah,2
910,drama,2
911,anda,2
912,justru,2
913,APAAN,2
914,SAMA,2
915,Punya,2
916,pantes,2
917,pertamanya,2
918,one,2
919,masak,2
920,bajunya,2
921,rusak,2
922,govlok,2
923,rebut,2
924,fikir,2
925,billy,2
926,KALAU,2
927,JANGAN,2
928,kuin,2
929,kenyataan,2
930,KATANYA,2
931,KUAT,2
932,muljem,2
933,tega,2
934,valakor,2
935,JIJIK,2
936,dapat,2
937,setelah,2
938,mantan,2
939,jet,2
940,bodong,2
941,Wkwkwkwk,2
942,swamik,2
943,pertama,2
944,Bakalan,2
945,rezeki,2
946,Emg,2
947,depok,2
948,Pinter,2
949,sorry,2
950,bala,2
951,bukti,2
952,ku,2
953,rusuh,2
954,hartis,2
955,tanggung,2
956,Ayu,2
957,sampek,2
958,bahas,2
959,ambil,2
960,lalu,2
961,prempuan,2
962,baik2,2
963,berjilbab,2
964,kelas,2
965,songong,2
966,wkwk,2
967,gimik,2
968,hujad,2
969,publik,2
970,single,2
971,harga,2
972,Susah,2
973,maling,2
974,ngaca,2
975,abis,2
976,maluin,2
977,texas,2
978,py,2
979,tanya,2
980,setuju,2
981,nanya,2
982,Eh,2
983,keras,2
984,numpang,2
985,didepan,2
986,AMIT,2
987,maya,2
988,@,2
989,w.lina2706,2
990,jongos,2
991,tetehlu,2
992,udeh,2
993,Dr,2
994,haha,2
995,Mulan,2
996,jameela,2
997,menjijikkan,2
998,bersama,2
999,maia,2
1000,kelihatan,2
1001,inget,2
1002,comment,2
1003,brp,2
1004,medsos,2
1005,ibadah,2
1006,arti,2
1007,besok,2
1008,attitude,2
1009,ketauan,2
1010,pula,2
1011,kurang,2
1012,bangt,2
1013,live,2
1014,dikomen,2
1015,kluarga,2
1016,Kampungan,2
1017,dipamer,2
1018,mbaknya,2
1019,kellen,2
1020,dateng,2
1021,posting,2
1022,joget2,2
1023,bening,2
1024,sekeluarga,2
1025,ngefans,2
1026,untung,2
1027,lebay,2
1028,umbar,2
1029,up,2
1030,fokus,2
1031,jengkel,2
1032,dosa,2
1033,pandangan,2
1034,terhadap,2
1035,Karna,2
1036,setan,2
1037,pekerjaan,2
1038,ngapain,2
1039,aura,2
1040,positifnya,2
1041,bulu,2
1042,atas,2
1043,gada,2
1044,kisah,2
1045,pepatah,2
1046,trllu,2
1047,mawaddah,2
1048,memisahkan,2
1049,sampai,2
1050,terharu,2
1051,pilih,2
1052,Lucu,2
1053,stefan,2
1054,tinggi,2
1055,super,2
1056,Raisa,2
1057,seumurannya,2
1058,beruntung,2
1059,so,2
1060,warahmah,2
1061,menonjolkan,2
1062,dandan,2
1063,utk,2
1064,Yaampun,2
1065,good,2
1066,kuliah,2
1067,dekat,2
1068,setiap,2
1069,kesalahan,2
1070,tahun,2
1071,knl,2
1072,korban,2
1073,terpancar,2
1074,of,2
1075,you,2
1076,bless,2
1077,Kereenn,2
1078,niki,2
1079,orangnya,2
1080,maaf,2
1081,dilihat,2
1082,alami,2
1083,gagah,2
1084,mudahan,2
1085,penampilannya,2
1086,Mukanya,2
1087,cantikk,2
1088,lcb,2
1089,duren,2
1090,keluarganya,2
1091,fisik,2
1092,idaman,2
1093,memimpin,2
1094,lembut,2
1095,tpi,2
1096,kel,2
1097,lindungan,2
1098,SWT,2
1099,Smg,2
1100,berikan,2
1101,kesehatan,2
1102,Plataran,2
1103,menunggu,2
1104,program,2
1105,R80,2
1106,Habibie,2
1107,eyang,2
1108,melakukan,2
1109,Ani,2
1110,cucu2,2
1111,tercinta,2
1112,menemani,2
1113,beliau,2
1114,memberikan,2
1115,belajar,2
1116,Keluarga,2
1117,membahagiakan,2
1118,melihat,2
1119,perilaku,2
1120,sungguh,2
1121,memo,2
1122,pepo,2
